X,Y,FID
5.59005,58.9276,ports_harbor.519
49.01086,27.79731,ports_harbor.520
135.3672,33.72948,ports_harbor.521
106.7148,10.72553,ports_harbor.522
-11.3585,28.4755,ports_harbor.523
-97.85745,22.23603,ports_harbor.524
-82.49585,27.77085,ports_harbor.525
-97.43405,21.2727,ports_harbor.526
132.5165,33.31116,ports_harbor.527
133.9391,34.47193,ports_harbor.528
24.768,59.446,ports_harbor.529
-15.369,27.99,ports_harbor.530
-73.0989,-36.7065,ports_harbor.531
133.6689,34.22952,ports_harbor.532
-1.7395,4.884,ports_harbor.533
131.5696,33.6796,ports_harbor.534
134.8951,34.35286,ports_harbor.535
132.9565,34.33298,ports_harbor.536
134.8006,34.73458,ports_harbor.537
134.0414,34.36455,ports_harbor.538
13.39495,32.88546,ports_harbor.539
130.442,32.92373,ports_harbor.540
121.391,25.159,ports_harbor.541
132.5456,34.11585,ports_harbor.542
120.5075,24.255,ports_harbor.543
121.1685,31.659,ports_harbor.544
52.35165,27.65749,ports_harbor.545
137.2588,34.70479,ports_harbor.546
138.6958,35.14258,ports_harbor.547
138.7612,34.80721,ports_harbor.548
3.716,36.8745,ports_harbor.549
12.20324,45.01003,ports_harbor.550
-90.43333,29.98333,ports_harbor.551
133.7418,34.27774,ports_harbor.552
133.6824,34.30934,ports_harbor.553
54.21161,26.70816,ports_harbor.554
-90.918,47.5245,ports_harbor.555
-122.404,47.274,ports_harbor.556
134.6578,33.88007,ports_harbor.557
114.4634,-3.706628,ports_harbor.558
-79.55363,8.798311,ports_harbor.559
129.5764,33.36235,ports_harbor.560
8.757938,36.95918,ports_harbor.561
14.595,53.441,ports_harbor.562
24.94181,37.43629,ports_harbor.563
-1.02756,60.3426,ports_harbor.564
151.2005,-33.8525,ports_harbor.565
14.2785,53.9095,ports_harbor.566
-3.921255,51.61409,ports_harbor.567
14.5615,68.234,ports_harbor.568
25.34705,43.62297,ports_harbor.569
23.313,58.97,ports_harbor.570
20.188,54.687,ports_harbor.571
10.618,55.059,ports_harbor.572
15.1475,55.1345,ports_harbor.573
136.6343,34.88499,ports_harbor.574
126.7251,37.32056,ports_harbor.575
0.1975708,52.7715,ports_harbor.576
116.0535,5.967716,ports_harbor.577
133.2945,33.39229,ports_harbor.578
14.31176,44.51134,ports_harbor.579
125.4955,9.781849,ports_harbor.580
-82.29456,22.6783,ports_harbor.581
106.0304,-5.884574,ports_harbor.582
112.722,-7.209,ports_harbor.583
59.52914,22.57859,ports_harbor.584
16.54895,43.386,ports_harbor.585
-80.11667,25.95,ports_harbor.586
17.3575,62.40075,ports_harbor.587
-1.381408,54.91129,ports_harbor.588
5.717182,59.83437,ports_harbor.589
-6.848,62.049,ports_harbor.590
133.083,34.36012,ports_harbor.591
49.62516,40.61526,ports_harbor.592
134.9001,34.34521,ports_harbor.593
16.86754,43.28502,ports_harbor.594
-1.286122,60.45284,ports_harbor.595
29.685,45.153,ports_harbor.596
15.3031,44.05165,ports_harbor.597
131.8712,33.24529,ports_harbor.598
136.8984,34.49905,ports_harbor.599
